 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
280	Fallout: New Vegas	PS3	07/03/2019	19/08/2020	Completed	98	3				RPG | OpenWorld	Box | Cover | Manual	
649	Fallout 4	PS4	23/08/2023	21/01/2025	Completed 	96.5	1		60:19		RPG | OpenWorld	Box | Cover | Manual	
947	Silent Hill 2	PS2	17/10/2025	20/10/2025	Completed	96	1		6:11		Horror | <3 | Adventure	Box | Cover | Manual	Platinum I Director's Cut
696	Fallout 3 Game of the Year Edition	PS3	09/12/2023	29/03/2024	Completed	95.5	1		44:11		RPG | OpenWorld	Box | Cover	
716	Bloodborne	PS4	21/04/2024	08/07/2025	Completed	95.5	1				Action | RPG | OpenWorld	Box | Cover | Manual	Playstation Hits
298	Metal Gear Solid: Peace Walker	PSP	19/05/2019	07/06/2019	Completed	95	1		41:25	GotM May|Jun19 || #1 PSP || #1 Action || #1 2019a|c	Action | Stealth	Box | Cover | Manual	
329	Warriors Orochi	PSP	02/01/2020	31/10/2020	Completed	94.5	1				Action | H&S	Box | Cover | Manual	
150	Neverwinter Nights	PC	15/08/2016	05/09/2016	Completed	94	1			#1 2016a|c || #1 PC || #1 RPG	RPG | OpenWorld	Box | Cover	Sold Out Software
355	Dark Souls II	PS3	08/07/2020	05/04/2023	Completed	94	1		34:39		RPG | <3 | OpenWorld	Box | Cover | Manual	
354	Bioshock	PS3	08/07/2020	20/07/2020	Completed	93.5	1			#1 PS3 || #1 Shooter || GotM Jul20	FPS | <3	Box | Cover | Manual	
934	Batman: Arkham Knight	PS4	20/08/2025	22/03/2026	 Completed	93	1				Action | Adventure	Box | Cover 	
104	Professor Layton and the Curious Village	NDS	23/06/2015	24/06/2015	Completed	93	2	100	12:10	#1 2015a|c || #1 DS || #1 Puzzle	Puzzle	/	
220	Rune Factory 2	NDS	19/05/2018	20/09/2018	Completed	93	1			#1 2018a|c || #2 DS || GotM Sep18 || #2 RPG	RPG | OpenWorld	/	
458	Red Dead Redemption	PS3	21/02/2022	28/10/2023	Completed	93	1				Action | Adventure | OpenWorld	Box | Cover | Manual	GOTY
686	Death Stranding	PS4	09/12/2023	26/07/2025	Completed	93	1		39:11		Action | Adventure | OpenWorld	Box | Cover	
757	Ghost of Tsushima	PS4	09/09/2024	26/05/2026	Completed	93	1	100			Action | Adventure 	Box | Cover | Manual	
418	Kessen III	PS2	27/07/2021	20/11/2024	Completed	92.5	1				Strategy	Box | Cover | Manual	
397	Kingdoms of Amalur: Reckoning	PS3	14/04/2021	08/03/2022	Completed	92.5	1		47:30		Action | RPG | OpenWorld	Box | Cover | Manual	
659	Warriors Orochi 4	PS4	29/08/2023	12/08/2025	Completed	92.5	1		36:01		Action | H&S | <3 | OpenWorld	Box | Cover	
644	Borderlands 2	PS4	23/08/2023	24/06/2025	Completed	92.5	1		42:33		FPS | RPG | OpenWorld	Box | Cover | Manual	Handsome Collection
