-																																																			
	All-Time Categories																																																		
	Category: All-Time List	Category: Games Acquired 2026	Category: Games Acquired 2025	Category: Games Acquired 2024	Category: Games Acquired 2023	Category: Games Acquired 2022	Category: Games Acquired 2021	Category: Games Acquired 2020	Category: Games Acquired 2019	Category: Games Acquired 2018	Category: Games Completed 2018	Category: Games Acquired 2017	Category: Games Completed 2017	Category: Games Acquired 2016	Category: Games Completed 2016	Category: Games Acquired 2015	Category: Games Completed 2015	Category: PS1 Games	Category: PS Classic Games	Category: PS2 Games	Category: PS3 Games	Category: PS4 Games	Category: Wii Games	Category: 3DS Games	Category: DS Games	Category: GCN Games	Category: SNES Classic Games	Category: PSP Games	Category: VITA Games	Category: Atari FB Games	Category: PC Games	Category: FPS Games	Category: TPS Games	Category: Horror Games	Category: Racing Games	Category: Fighting Games	Category: RPGs	Category: Platformers	Category: Action Games	Category: Adventure Games	Category: Stealth Games	Category: Hack&Slash Games	Category: Puzzle Games	Category: Strategy Games	Category: Sports Games	Category: Party Games	Category: Open World Games	Category: Games from Slavica		What is GOTC?	
																																																		The "GOTC" sheet is a comprehensive catalog documenting the Game of the Year (GOTY) awards across various years and categories. The sheet provides a structured overview of outstanding games that have earned prestigious honors in their respective genres.   It's consistently kept up-to-date, and a new GOTY entry is added once a year.   Each entry is accompanied with a game icon, that's created from scratch.	
	Fallout: New Vegas [PS3]		Silent Hill 2 [PS2]	Bloodborne [PS4]	Fallout 4 [PS4]	Red Dead Redemption [PS3]	Kingdoms of Amalur: Reckoning [PS3]	Warriors Orochi [PSP]	Fallout: New Vegas [PS3]	Rune Factory 2 [NDS]	Rune Factory 2 [NDS]	Half-Life [PC]	Half-Life [PC]	Neverwinter Nights [PC]	Neverwinter Nights [PC]	Professor Layton and the Curious Village [NDS]	Professor Layton and the Curious Village [NDS]	Dino Crisis [PS1]	Revelations: Persona [PS Classic]	Silent Hill 2 [PS2]	Fallout: New Vegas [PS3]	Fallout 4 [PS4]	MadWorld [Wii]	Yo-kai Watch [3DS]	Professor Layton and the Curious Village [NDS]	NBA Street Vol. 2 [GCN]	Super Metroid [SNES Classic]	Metal Gear Solid: Peace Walker [PSP]	Toukiden: The Age of Demons [VITA]	Adventure II [Atari FB3]	Neverwinter Nights [PC]	Bioshock [PS3]	Resident Evil Revelations [PS3]	Silent Hill 2 [PS2]	Burnout Revenge [PS2]	Guilty Gear X2 #Reload [PC]	Fallout: New Vegas [PS3]	Super Metroid [SNES Classic]	Bloodborne [PS4]	Red Dead Redemption [PS3]	Metal Gear Solid: Peace Walker [PSP]	Warriors Orochi [PSP]	Professor Layton and the Curious Village [NDS]	Kessen III [PS2]	Football Manager 2010 Handheld [PSP]	Mario Party 8 [Wii]	Fallout: New Vegas [PS3]	Silent Hill 2 [PS2]			
	Fallout 3 Game of the Year Edition [PS3]		Medievil [PS4]	Dead Space 2 [PS3]	Fallout 3 Game of the Year Edition [PS3]	Yo-kai Watch [3DS]	Bully [PS2]	Dark Souls II [PS3]	Metal Gear Solid: Peace Walker [PSP]	Super Metroid [SNES Classic]	Super Metroid [SNES Classic]	Ratchet & Clank 3 [PS2]	Ratchet & Clank 3 [PS2]	Grand Theft Auto: Liberty City Stories [PSP]	Grand Theft Auto: Liberty City Stories [PSP]	Ratchet & Clank 2 [PS2]	Ratchet & Clank 2 [PS2]	Crash Bandicoot 2: Cortex Strikes Back [PS1]	Metal Gear Solid [PS Classic]	Kessen III [PS2]	Fallout 3 Game of the Year Edition [PS3]	Bloodborne [PS4]	Cursed Mountain [Wii]	Yo-Kai Watch 2: Fleshy Souls [3DS]	Rune Factory 2 [NDS]		Earthbound [SNES Classic]	Warriors Orochi [PSP]	Uncharted: Golden Abyss [VITA]	Super Breakout [Atari FB3]	Half-Life [PC]	Borderlands 2 [PS4]	Dead Space 2 [PS3]	Silent Hill 4: The Room [PS2]	Burnout Legends [PSP]	Naruto Shippuden: Ultimate Ninja Storm 2 [PS3]	Fallout 4 [PS4]	Rayman Legends [PS4]	Metal Gear Solid: Peace Walker [PSP]	Death Stranding [PS4]	Metal Gear Solid 2: Sons of Liberty [PS2]	Warriors Orochi 4 [PS4]	Me & My Katamari [PSP]	Samurai Warriors 2 Empires [PS2]	Skate 3 [PS3]	Mario Party DS [NDS]	Fallout 4 [PS4]	Dark Souls II [PS3]			
	Metal Gear Solid: Peace Walker [PSP]		Rayman Legends [PS4]	Dead Space [PS3]	Death Stranding [PS4]	Saints Row IV [PS3]	Bioshock Infinite [PS3]	Bioshock [PS3]	Heavy Rain [PS3]	Earthbound [SNES Classic]	Super Mario RPG: Legend Of The Seven Stars [SNES Classic]	God of War II [PS2]	God of War II [PS2]	Baldur's Gate: Dark Alliance II [PS2]	Resident Evil - Code: Veronica X [PS2]	Half-Life 2 [PC]	Half-Life 2 [PC]	Tom Clancy's Rainbow Six [PS1]	Oddworld: Abe’s Oddysee [PS Classic]	Ratchet & Clank 2 [PS2]	Dark Souls II [PS3]	Death Stranding [PS4]	New Super Mario Bros. Wii [Wii]	Super Mario Maker [3DS]	New Super Mario Bros. [NDS]		Super Mario RPG: Legend Of The Seven Stars [SNES Classic]	Me & My Katamari [PSP]	Resistance: Burning Skies [VITA]	Adventure [Atari FB3]	Half-Life 2 [PC]	Half-Life [PC]	Dead Space [PS3]	Resident Evil 4 [PS2]	Burnout Dominator [PSP]	Naruto Shippuden: Ultimate Ninja Heroes 3 [PSP]	Fallout 3 Game of the Year Edition [PS3]	LocoRoco 2 [PSP]	Warriors Orochi [PS4]	Ratchet & Clank 2 [PS2]	Deus Ex: Human Revolution [PS3]	Warriors Orochi 3 [PS3]	Professor Layton and the Pandora's Box [NDS]	Kessen II [PS2]	Tony Hawk's Project 8 [PSP]	Buzz! Junior: Monster Rumble [PS2]	Fallout 3 Game of the Year Edition [PS3]	Bioshock [PS3]			
	Warriors Orochi [PSP]		LocoRoco 2 [PSP]	Odin Sphere [PS2]	Warriors Orochi 4 [PS4]	Resident Evil Revelations [PS3]	Kessen II [PS2]	Metal Gear Solid 2: Sons of Liberty [PS2]	Final Fantasy XIII [PS3]	Super Mario RPG: Legend Of The Seven Stars [SNES Classic]	Guilty Gear X2 #Reload [PC]	Jade Empire: Special Edition [PC]	Jade Empire: Special Edition [PC]	Skylanders: Giants [Wii]	Skylanders: Giants [Wii]	Burnout Revenge [PS2]	Burnout Revenge [PS2]	Toshinden 4 [PS1]	Mr Driller [PS Classic]	Ratchet & Clank 3 [PS2]	Bioshock [PS3]	Warriors Orochi 4 [PS4]	Skylanders: Giants [Wii]	New Super Mario Bros. 2 [3DS]	Professor Layton and the Pandora's Box [NDS]		Super Mario World 2: Yoshi's Island [SNES Classic]	Medievil Resurrection [PSP]		Outlaw [Atari FB3]	Jade Empire: Special Edition [PC]	Half-Life 2 [PC]	Resident Evil Revelations 2 [PS3]	Resident Evil Revelations [PS3]	Mario Kart DS [NDS]	Tekken 6 [PS3]	Bloodborne [PS4]	LocoRoco [PSP]	Red Dead Redemption [PS3]	Ratchet & Clank 3 [PS2]	Metal Gear Solid: Portable Ops [PSP]	God of War II [PS2]	Professor Layton and the Unwound Future [NDS]	Falling Skies: The Game [PS3]	Everybody's Tennis [PSP]	High School Musical: Sing It! [PS2]	Bloodborne [PS4]	Warriors Orochi 4 [PS4]			
	Dark Souls II [PS3]		Condemned 2: Bloodshot [PS3]	Yakuza [PS2]	Borderlands 2 [PS4]	Sleeping Dogs [PS3]	Uncharted 2: Among Thieves [PS3]	Fallout 3 [PS3]	DMC Devil May Cry [PS3]	Super Mario World 2: Yoshi's Island [SNES Classic]	Super Mario World 2: Yoshi's Island [SNES Classic]	Silent Hill: Origins [PSP]	Silent Hill: Origins [PSP]	Tom Clancy's Splinter Cell: Chaos Theory [PC]	Tom Clancy's Splinter Cell: Chaos Theory [PC]	Professor Layton and the Pandora's Box [NDS]	Professor Layton and the Pandora's Box [NDS]	In Cold Blood [PS1]	Tekken 3 [PS Classic]	Metal Gear Solid 2: Sons of Liberty [PS2]	Red Dead Redemption [PS3]	Borderlands 2 [PS4]	Rayman Origins [Wii]	Super Mario 3D Land [3DS]	Professor Layton and the Unwound Future [NDS]		Super Mario World [SNES Classic]	Grand Theft Auto: Chinatown Wars [PSP]		Aquaventure [Atari FB3]	Resident Evil 2 [PC]	Bioshock 2 [PS3]	Syphon Filter: Dark Mirror [PSP]	Dead Space 2 [PS3]	Burnout Paradise [PS3]	BlazBlue: Calamity Trigger [PS3]	Neverwinter Nights [PC]	New Super Mario Bros. Wii [Wii]	Death Stranding [PS4]	Medievil [PS4]	Dishonored [PS4]	DMC Devil May Cry [PS3]	Another Code: Two Memories [PSP]	Anno: Create a New World [NDS]	Pro Evolution Soccer 2010 [PSP]	Buzz! Junior: Jungle Party [PS2]	Neverwinter Nights [PC]	Yo-kai Watch [3DS]			
	2025 Best-Of																																																		
	Category: Game of the Year 2025 Winner	Category: Game of the Year 2025 Runner-Up	Category: Game of the Year 2025 Third Place	Category: Favourite Platinum 2025	Category: Co-op GOTY 2025	Category: Biggest Surprise 2025	Category: Biggest Dissapointment 2025	Category: Console of the Year 2025	Category: Best Non-English Game 2025	Category: Best Game Not Finished 2025	Category: Best Game in 🐥 Opinion 2025	Category: Best Game of Q1 2025	Category: Best Game of Q2 2025	Category: Best Game of Q3 2025	Category: Best Game of Q4 2025	Category: Most Memorable Moment 2025	Category: Best Cover Art 2025	Category: PS1 GOTY 2025	Category: PS Classic GOTY 2025	Category: PS2 GOTY 2025	Category: PS3 GOTY 2025	Category: PS4 GOTY 2025	Category: Wii GOTY 2025	Category: 3DS GOTY 2025	Category: DS GOTY 2025	Category: GCN GOTY 2025	Category: SNES Classic GOTY 2025	Category: PSP GOTY 2025	Category: VITA GOTY 2025	Category: Atari FB GOTY 2025	Category: PC GOTY 2025	Category: FPS GOTY 2025	Category: TPS GOTY 2025	Category: Horror GOTY 2025	Category: Racing Game GOTY 2025	Category: Fighting Game GOTY 2025	Category: RPG GOTY 2025	Category: Platformer GOTY 2025	Category: Action Game GOTY 2025	Category: Adventure Game GOTY 2025	Category: Stealth Game GOTY 2025	Category: Hack&Slash Game GOTY 2025	Category: Puzzle Game GOTY 2025	Category: Strategy Game GOTY 2025	Category: Sports Game GOTY 2025	Category: Party Game GOTY 2025	Category: Open World GOTY 2025	Category: Games from Slavica GOTY 2025		Highlights, Stats & Changes 2025	
