Septebmber 2026					
			Far Cry 4	PS4	✅
			Far Cry 4	PS3	✅
			For Honor	PS4	✅
			Harvest Moon: Mad Dash	PS4	
			One Piece: Pirate Warriors 2	PS3	✅
			Time Crisis 4	PS3	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
August 2026					
			Sega Mega Drive Ultimate Collection	PS3	➖
			Monsters & Aliens	PS3	✅
			Leisure Suit Larry: Magna Cum Laude	PS2	⏳
			Mario Kart 7	3DS	✅
			Mystery Tales: Time Travel	NDS	✅
			Far Cry 4	PS4	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Borderlands: The Pre-Sequel!	PS4	✅	Completed: 4	Bought: 9	
					
July 2026					
			Devil May Cry 2	PS2	✅
			Silent Hill 3 HD	PS3	✅
			Dishonored: Death of the Outsider	PS4	✅
			Platinum Sudoku	3DS	➖
			Pinball Hall of Fame 3D	3DS	➖
			Driver: Renegade 3D	3DS	✅
			Borderlands: The Pre-Sequel!	PS4	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
Minecraft	VITA	⏳	Completed: 4	Bought: 34	
					
June 2026					
			God of War: Ascension	PS3	✅
			Pro Yakyuu Spirits 2015	VITA	➖
			Wild Wild Racing	PS2	✅
			X Squad	PS2	✅
			Watch Dogs	PS3	✅
			Devil May Cry 2	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Taiko no Tatsujin: V Version	VITA	✅	Completed: 5	Bought: 2	
					
May 2026					
			The Council	PS4	✅
			Deadlight	PS4	✅
			Nobunaga's Ambition: Taishi	PS4	⏳
			SingStar 90s	PS2	➖
			Freedom Wars	VITA	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Ghost of Tsushima	PS4	✅	Completed: 3	Bought: 7	
					
April 2026					
			Unreal Tournament	PS2	✅
			Max Payne 3	PS3	✅
			Dead or Alive 2	PS2	⏳
			Mario Party: Island Tour	3DS	✅
			Red Faction: Armageddon	PS3	✅
			Fuel	PS3	⏳
			Stuntman	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
Headhunter Redemption	PS2	✅	Completed: 5	Bought: 19	
					
March 2026					
			Devil May Cry 5	PS4	✅
			RAGE 2	PS4	✅
			Assassin's Creed III Liberation	VITA	✅
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Batman: Arkham Knight	PS4	✅	Completed: 4	Bought: 4	
					
February 2026					
			Cubic Ninja	3DS	✅
			Dante's Inferno	PSP	✅
			Dynasty Warriors 6 Empires	PS3	✅
			Touch My Katamari	VITA	✅
			Binary Domain	PS3	✅
			Devil May Cry 5	PS4	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
NBA 2K12	PS3	➖	Completed: 5	Bought: 1	
					
January 2026					
			The Evil Within	PS4	✅
			Virtua Fighter 5	PS3	✅
			Ninja Gaiden Sigma 2	PS3	⏳
			TimeShift	PS3	✅
			Saints Row 2	PS3	✅
			Portal	PS3	✅
			Red Faction: Guerilla 	PS3	✅
			Naruto: Ninja Council - European Version	NDS	⏳
			Cubic Ninja	3DS	⏳
					
					
					
					
					
					
					
					
					
					
					
Just Cause 2	PS3	✅	Completed: 7	Bought: 14	
					
December 2025					
			Metal Gear Solid	PS Classic	✅
			Tomb Raider III: Adventures of Lara Croft	PS1	⏳
			NBA Street Vol. 2	GCN	➖
			Little Battlers eXperience	3DS	✅
			Uncharted: Golden Abyss	VITA	✨
			Resistance: Burning Skies	VITA	✨
			Surround	Atari FB3	➖
			Centipede	Atari FB3	➖
			Fatal Run	Atari FB3	➖
					
					
					
					
					
					
					
					
					
					
					
Toukiden: The Age of Demons	VITA	✅	Completed: 3	Bought: 23	
					
November 2025					
			de Blob	Wii	✅
			DIshonored 2	PS4	✅
			The Legend of Zelda: A Link to the Past 	SNESc	✅
			Little Battlers eXperience	3DS	⏳
			Uncharted: Golden Abyss	VITA	✅
			Resistance: Burning Skies	VITA	✅
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Persona 5 Strikers	PS4	✅	Completed: 6	Bought: 8	
					
October 2025					
			F.E.A.R. 2	PS3	✅
			Captain Tsubasa: Rise of New Champions	PS4	✅
			Uncharted: The Lost Legacy	PS4	✅
			InFamous	PS3	✅
			Dissidia Final Fantasy NT	PS4	⏳
			Brothers in Arms: Earned in Blood	PS2	⏳
			The Order 1886	PS4	✅
			Bulletstorm	PS3	✅
			de Blob	Wii	⏳
					
					
					
					
					
					
					
					
					
					
					
Silent Hill 2	PS2	✅	Completed: 7	Bought: 17	
					
September 2025					
			Batman: Arkham Origins	PS3	✅
			The Darkness II	PS3	✅
			Juiced 2: Hot Import Nights	PS3	⏳
			Little Battlers eXperience	3DS	⏳
			The History Channel: Great Battles of Rome	PS2	⏳
			F.E.A.R. 2	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Rayman Legends	PS4	✅	Completed: 3	Bought: 3	
					
August 2025					
			Super Mario 3D Land	3DS	✅
			MotorStorm: Arctic Edge	PSP	⏳
			Abzu	PS4	✅
			Sonic & Sega All-Stars Racing	PS3	✅
			Transformers	PS2	✅
			Syndicate	PS3	✅
			Batman: Arkham Origins	PS3	⏳
			Minecraft	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
Warriors Orochi 4	PS4	✅	Completed: 6	Bought: 4	
					
July 2025					
			Mortal Kombat XL	PS4	✅
			Super Mario 3D Land	3DS	⏳
			Metro 2033 Redux	PS4	✅
			Death Stranding	PS4	✅
			Myth Makers: Orbs of Doom	PS2	⏳
			NBA 2K11	PS2	➖
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Bloodborne	PS4	✅	Completed: 4	Bought: 14	
					
June 2025					
			Grand Theft Auto: Episodes from Liberty City	PS3	✅
			One Piece: Romance Dawn	3DS	⏳
			Yoshi's New Island	3DS	✅
			Medievil	PS4	✅
			Hidden Agenda	PS4	✅
			Mortal Kombat XL	PS4	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Borderlands 2	PS4	✅	Completed: 5	Bought: 12	
					
May 2025					
			Turning Point: Fall of Liberty	PS3	✅
			3D Tic-Tac-Toe	Atari FB3	➖
			Adventure	Atari FB3	✅
			Adventure 2	Atari FB3	✅
			Assassins Creed III	PS3	✅
			Hangman	Atari FB3	➖
			Video Pinball	Atari FB3	➖
			Circus Atari	Atari FB3	➖
			Aquaventure	Atari FB3	➖
			Championship Soccer	Atari FB3	➖
			Air-Sea Battle	Atari FB3	➖
			Video Checkers	Atari FB3	➖
			Yar's Revenge	Atari FB3	➖
			Super Breakout	Atari FB3	➖
			Night Driver	Atari FB3	➖
			Grand Theft Auto: Episodes from Liberty City	PS3	⏳
			Outlaw	Atari FB3	➖
					
					
					
Dynasty Warriors 6	PS3	✅	Completed: 5	Bought: 61	
					
April 2025					
			Condemned 2: Bloodshot	PS3	✅
			Midnight Club: Los Angeles	PS3	⏳
			LocoRoco 2	PSP	✅
			Prototype	PS3	✅
			Singularity	PS3	✅
			LittleBigPlanet	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
